Product ID,Description,price,Category
0307141985,Mouse on the Mayflower [VHS],0,Children's Music
073890015X,Woodstock 99 [VHS],5.23,Rock
0738900370,G3 - Live in Concert,11.98,Metal
0738900672,Jeff Buckley - Live in Chicago,12.38,Singer-Songwriters
0738919039,Herbert Von Karajan - His Legacy for Home Video - Mozart - Don Giovanni,11.98,Symphonies
0738920363,"Elmo's World - Babies, Dogs &amp; More! [VHS]",14.95,Children's Music
0738921475,Cinderelmo [VHS],4.41,Children's Music
0739060287,The Master Drummer,22.28,Instructional
0760135002,Whatever it Takes: The &quot;She Said Yes&quot; Video Tribute to Cassie Bernall by Her Friends [VHS],11.71,Pop & Contemporary
0767804341,Riverdance - Live From New York City,25.45,Celtic New Age
0767816641,Madeline [VHS],1.39,Children's Music
076783822X,Bear in the Big Blue House - Potty Time with Bear [VHS],10.85,Children's Music
0769716903,Carole King - In Concert,15.18,Adult Contemporary
0769720226,Great Pas De Deux [VHS],4.95,Classical
0769720323,"Mozart - Don Giovanni / Kreizberg, Cachemaille, Glyndebourne Festival Opera [VHS]",14.62,Classical
0769720366,"Verdi - I Lombardi / Gavazzeni, Carreras, Dimitrova, La Scala [VHS]",23.93,Classical
0769720382,"Puccini - La Fanciulla del West / Santi, Domingo, Neblett, Royal Opera Covent Garden [VHS]",20.19,Classical
0769720994,"Handel - Theodora / Christie, Upshaw, Daniels, Glyndebourne Festival Opera [VHS]",11.0,Classical
0769721125,Spartacus [VHS],20.92,Classical
0780018664,M [VHS],14.69,Children's Music
0780607287,Teenage Mutant Ninja Turtles - The Original Movie [VHS],2.99,Children's Music
0783112793,Stomp Out Loud [VHS],3.75,Soundtracks
0783223234,The Land Before Time VI - The Secret of Saurus Rock [VHS],4.95,Children's Music
0783227477,"Verdi - La Traviata / Levine, Stratas, Domingo",29.98,Classical
0783228503,American Tail [VHS],14.75,Children's Music
078322852X,American Tail: Fievel Goes West [VHS],8.63,Children's Music
0783233485,The Doors Collection (Collector's Edition),14.42,Rock
0788602136,Music Scene - The Best of 1969-70,13.48,Classic Country
0788602144,"Hullabaloo, Vols. 1-4",12.73,British Invasion
0788806270,Bambi (Walt Disney's Masterpiece) [VHS],6.94,Disney
078881172X,Peter Pan (45th Anniversary Limited Edition) [VHS],8.89,Disney
0790724960,"Double, Double, Toil &amp; Trouble [VHS]",6.5,Children's Music
0790729350,Woodstock - 3 Days of Peace &amp; Music (The Director's Cut),47.85,Rock
0790731436,To Grandmother's House We Go [VHS],24.88,Children's Music
0790735628,Michael Crawford in Concert [VHS],8.97,Vocal Pop
0790742624,Flight of Dragons [VHS],24.0,Children's Music
0792836030,Viva Las Vegas,22.38,Dance Pop
0792839420,The Secret Of NIMH 2 - Timmy To The Rescue [VHS],1.94,Children's Music
0792843630,Storefront Hitchcock,6.64,Alternative Rock
0972179518,The Happiest Baby on the Block Video [VHS],24.99,Instructional
1450734618,Goodbye Worries,12.95,Spoken Word
1452142726,Coleman Hawkins Encounters Ben Webster,14.16,Bebop
1559615206,Delta Sleep System: Fall Asleep / Stay Asleep / Wake Up Rejuvenated,19.3,Meditation
1560395737,Scooby-Doo on Zombie Island [VHS],5.92,Children's Music
1560396237,The Powerpuff Girls - Bubblevicious [VHS],7.22,Children's Music
1561270296,"Meyerbeer - Les Huguenots / Bonynge, Sutherland, Thane, Australian Opera [VHS]",11.95,Classical
1561270490,"Dvorak - Rusalka / Elder, Hannan, Treleaven [VHS]",9.95,Classical
1561278599,American Ballet Theatre Now [VHS],0,Classical
156605334X,Monterey Pop [VHS],19.99,Album-Oriented Rock (AOR)
1566053358,Jimi Plays Monterey [VHS],17.99,Psychedelic Rock
1566054834,Alice Cooper: Welcome to My Nightmare,5.0,Metal
1568556888,Bobby Darin: Mack is Back (1973),79.99,Vocal Pop
1568963696,Elvis '56 - In the Beginning,10.49,Rock
1569383421,Bernadette Peters in Concert [VHS],12.95,Vocal Pop
1569383472,"Gilbert &amp; Sullivan - Iolanthe / Forrester, Donkin, Stratford Festival",19.24,Classical
1569383480,"Gilbert &amp; Sullivan - The Pirates of Penzance / Hyslop, Tomlin, Carver, Stratford Festival",19.74,Classical
1570195943,Legends of Radio: Shadow,7.86,Comedy & Spoken Word
1571323767,Barney - Sing and Dance with Barney [VHS],11.99,Children's Music
1572521465,Tina Turner - Live in Amsterdam: Wildest Dreams Tour [VHS],15.99,Soul
1572524030,Black Wax &amp; Is That Jazz [VHS],0,Poetry
157252409X,Al Green: Gospel According to Al Green,9.99,Christian
1573300195,Luther Vandross: Always and Forever,9.94,Dance Pop
1573300357,Neil Diamond - Greatest Hits Live,10.05,Adult Contemporary
157330039X,Gloria Estefan: Live in Miami - The Evolution Tour,11.98,Dance & Electronic
1573300403,"Michael Jackson - History on Film, Vol. 2",11.88,Dance & Electronic
1573300411,Ozzy Osbourne - Live &amp; Loud,10.37,Album-Oriented Rock (AOR)
157330042X,Celine Dion - The Colour of My Love Concert,14.99,Adult Contemporary
1573300438,Oasis: There and Then,64.99,Britpop
1573300470,Aerosmith - The Making of Pump,9.98,Metal
1573300489,Mary Chapin Carpenter: Jubilee - Live at Wolf Trap,10.78,Outlaw Country
1573300497,Rage Against the Machine [VHS],19.98,Alternative Rock
157330056X,"Stevie Ray Vaughan &amp; Double Trouble -  Live From Austin, Texas",11.89,Electric Blues
1573300780,The Allman Brothers: Live at Great Woods,12.95,Southern Rock
157330087X,A Tribute to Stevie Ray Vaughan,18.96,Blues
1573300934,James Taylor Live at the Beacon Theatre,11.98,Contemporary Folk
1573301043,Vh1 Divas Live [VHS],0.36,Vocal Pop
1573301108,Gloria Estefan: Don't Stop!,11.98,Dance & Electronic
1573301116,Pearl Jam - Single Video Theory,11.98,Alternative Rock
1573301183,Alice in Chains - MTV Unplugged,12.03,Alternative Rock
1573301310,Herbert von Karajan - His Legacy for Home Video: The New Year's Concert 1987,19.08,Symphonies
1573301329,Herbert Von Karajan - His Legacy for Home Video - Beethoven Symphony No. 9 choral,9.28,Symphonies
1573301353,"Vivaldi - The Four Seasons / Von Karajan, Mutter, Berlin Philharmonic",11.98,Symphonies
1573301469,Charlotte Church - Voice of an Angel in Concert,11.98,Classical
1573301507,Mariah Carey - Around the World,10.97,Dance & Electronic
1573301604,New Kids On The Block: Greatest Hits - The Videos,11.89,Rock
157330574X,Elmopalooza [VHS],5.9,Children's Music
1573306894,Tony Bennett - MTV Unplugged: The Video,11.98,Traditional Pop
1573306932,Message to Love - The Isle of Wight Festival,9.98,Pop
1573306983,The Wildlife Concert,11.98,Singer-Songwriters
1573623709,Nine Inch Nails - Closure [VHS],47.98,Alt Industrial
1573623806,Marilyn Manson - Dead to the World [VHS],0,Alternative Rock
1580770525,Nosferatu: The First Vampire [VHS],0,Alternative Metal
1587590719,Dreamland: World Lullabies &amp; Soothing Songs,27.98,Lullabies
1591795486,Tibetan Meditation Music,13.62,Healing
1591795540,Hudson River Wind Meditations,19.72,Meditation
159856126X,Handel: Messiah - The Complete Work,11.56,Christian
1858703883,Panic of Girls (Fan Pack),19.88,New Wave
1858704553,Chickenfoot III: Classic Rock Special Edition,9.49,Hard Rock
1858705223,Apocalyptic Love: UK Fan Pack Edition,12.49,Rock
1858705231,Clockwork Angels: UK Fan Pack,11.49,Hard Rock
1892562154,The Best of Victor Borge Acts I and II [VHS],4.97,Classical
1929243154,Brian Regan Live,12.01,Comedy & Spoken Word
3937406328,Blue Guitars,57.28,Blues
3940004502,Return of the Fabulous Hofner Bluenotes,58.68,Blues
5550686953,Live Wire / Blues Power,8.99,Blues
5550961512,Dorje Ling,4.95,Meditation
5552454855,Turn Off the Radio Mixtape 1,24.98,Pop
5555991584,Memory of Trees,9.49,Celtic New Age
5557530584,Flyleaf [With DVD],13.99,Christian
5558160063,Comatose,15.27,Rock & Alternative
5558210788,See the Morning,13.99,Praise & Worship
5558225718,Blood of the Snake,9.49,Pop
5558783532,Lark's Tongues in Aspic,11.88,Pop
5559166928,He Touched Me: The Gospel Music of Elvis Presley,19.61,Southern Gospel
5559291986,Transformed Man,5.94,Spoken Word
6300174662,Children of Theatre Street [VHS],10.74,Classical
6300175170,The Bolshoi Ballet Company in The Ultimate Swan Lake [VHS],2.01,Classical
6300183505,Janis: The Way She Was [VHS],42.55,Blues Rock
6300184978,Pack Up the Plantation [VHS],0,Album-Oriented Rock (AOR)
6300185001,Live By the Bay [VHS],29.99,Singer-Songwriters
6300186008,The Doors - Live at the Hollywood Bowl [VHS],6.59,Psychedelic Rock
6300198286,The Grateful Dead Movie [VHS],14.39,Album-Oriented Rock (AOR)
6300215210,Un Ballo in Maschera [VHS],9.99,Classical
6300216357,Charlotte's Web,10.98,Children's Music
6300216780,"Race for Your Life, Charlie Brown!",11.89,Children's Music
6300217647,"Puccini - Manon Lescaut / Levine, Scotto, Domingo, Metropolitan Opera [VHS]",24.96,Classical
6300227049,Kiss - eXposed [VHS],29.99,Metal
6300249883,Judas Priest...live! [VHS],0,New Wave
630025075X,David Gilmour [VHS],13.96,Progressive Rock
6300251020,Simon and Garfunkel - The Concert in Central Park [VHS],8.99,Singer-Songwriters
6300270424,Led Zeppelin - The Song Remains the Same [VHS],4.0,Album-Oriented Rock (AOR)
6300273199,AC/DC - Let There Be Rock [VHS],8.24,Album-Oriented Rock (AOR)
6300987590,Sign O the Times [VHS],0,Dance & Electronic
6301005538,The Bolshoi Ballet Company in Giselle [VHS],29.99,Classical
6301007581,New Faces [VHS],15.78,Soundtracks
6301015460,Crazy Nights [VHS],0,Metal
6301095294,The Beatles - Magical Mystery Tour [VHS],13.88,British Invasion
6301118251,Prokofiev - Romeo and Juliet (Royal Ballet) [VHS],8.99,Classical
6301174240,Moonwalker [VHS],17.99,Dance Pop
630122972X,Rush: A Show of Hands [VHS],18.87,Album-Oriented Rock (AOR)
6301248171,The Police Synchronicity Concert [VHS],19.68,New Wave
6301248198,Yesterday Once More [VHS],35.0,Soft Rock
6301267850,The Ladies Sing the Blues [VHS],1.5,Vocal Blues
6301269977,Little Humpbacked Horse [VHS],14.99,Classical
6301334175,Pink Floyd In Concert: Delicate Sound Of Thunder [VHS],0,Progressive Rock
6301383761,Around the World [VHS],0,New Wave
6301405323,Pink Floyd - Live at Pompeii [VHS],0,Album-Oriented Rock (AOR)
6301528956,See the Light-Live From London [VHS],15.28,Electric Blues
6301606167,We're All Devo [VHS],0,Post-Punk
6301650662,Special Bulletin (TV-Movie) [VHS],0,Instructional
6301753534,Sing Along Songs - Disneyland Fun [VHS],15.99,Disney
6301757068,The Carl Stalling Project,7.59,Children's Music
6301795245,Maiden England [VHS],34.43,New Wave
6301810619,Thelonius Monk - Straight No Chaser [VHS],19.99,Jazz
6301816064,Roland Petit's Ballet of Carmen [VHS],19.99,Classical
6301817664,Past to Present [VHS],0,Album-Oriented Rock (AOR)
6301827724,"The Highwaymen - Willie, Waylon, Cash &amp; Kris - Live [VHS]",14.98,Classic Country
6301846052,The Wall-Live in Berlin [VHS],10.75,Album-Oriented Rock (AOR)
6301875168,Live Three Ways Video [VHS],0,Jazz
6301879465,Stevie Ray Vaughan and Double Trouble: Pride &amp; Joy [VHS],9.98,Electric Blues
6301879562,Legend of a Band - The Story of the Moody Blues [VHS],3.5,British Invasion
6301901533,The Judds - Love Can Build a Bridge [VHS],9.49,Outlaw Country
6301902122,Live in Japan [VHS],0,Album-Oriented Rock (AOR)
6301910400,Coroner - 1990 No More Color Tour Live in East Berlin [VHS],34.85,Thrash & Speed Metal
6301922085,Tina Turner: Live from Barcelona 1990 (Do You Want Some Action) [VHS],32.83,Soul
6301934156,The Wind in the Willows: The Ghost At Mole End and other stories [VHS],9.35,Children's Music
6301948106,Disney Movietoons Presents: Ducktales The Movie: Treasure Of The Lost Lamp [VHS],8.93,Disney
6301955013,Bob Marley and the Wailers: Live! At the Rainbow [VHS],4.5,Reggae
630196392X,200 Motels [VHS],2.99,Alternative Rock
630196943X,Girl Groups [VHS],29.88,Doo Wop
6301971523,Phantom Tollbooth [VHS],25.88,Children's Music
6301978285,Tex Avery's Screwball Classics [VHS],0,Children's Music
6301991400,Traffic - Live at Santa Monica [VHS],11.88,Progressive Rock
6302004713,Prince Igor [VHS],12.59,Classical
6302043042,Eurythmics: Greatest Hits [VHS],8.95,New Wave
6302043239,U2 Live at Red Rocks: Under a Blood Red Sky [VHS],24.94,Alternative Rock
6302091594,Donna Summer: A Hot Summer Night [VHS],0,R&B
6302158249,Dire Straits: Alchemy Live [VHS],14.99,Album-Oriented Rock (AOR)
6302166888,"Verdi - La Traviata / Patane, Moffo, Bonisolli, Rome Opera House [VHS]",27.64,Classical
6302201721,Dice Rules [VHS],9.75,Comedy & Spoken Word
6302213142,The Beatles - The First U.S. Visit [VHS],20.33,British Invasion
6302238064,Verdi - Aida - The Metropolitan Opera/James Levine [VHS],25.0,Classical
6302250056,Stevie Ray Vaughan - Live at the El Mocambo [VHS],3.6,Contemporary Blues
6302250064,Rude Boy [VHS],6.98,Punk
6302263913,Patti Labelle: Live in New York [VHS],25.99,Dance & Electronic
6302275660,Richard Scarry's Best Counting Video Ever !,13.03,Children's Music
6302299527,Pet Shop Boys Videography: The Singles Collection on Video [VHS],25.41,Alternative Rock
6302311640,Mad Dogs &amp; Englishmen [VHS],19.68,Blues Rock
6302371392,Live Baby Live [VHS],13.21,New Wave
6302371619,Frank Sinatra - A Man and His Music + Ella + Jobim [VHS],8.87,Swing Jazz
630237166X,Frank Sinatra - A Man and His Music - Part 2 [VHS],33.75,Swing Jazz
6302371724,Jimi Plays Berkeley [VHS],9.92,Metal
630237250X,Don't Look Back: 1965 UK Tour [VHS],2.58,Contemporary Folk
6302372518,"Paul Simon: Concert In The Park: August 15th, 1991 [VHS]",0,Singer-Songwriters
6302372569,Moonshadows [VHS],14.25,Celtic New Age
6302372666,Metallica - Cliff 'Em All [VHS],0,Thrash & Speed Metal
6302372801,Motley Crue: Decade of Decadence '81-'91 [VHS],29.99,Pop Metal
6302373867,Tango in the Night [VHS],0,Rock
6302374162,24 Nights [VHS],25.0,Blues Rock
6302374189,Madonna - The Immaculate Collection [VHS],12.49,Dance & Electronic
6302374251,Madonna [VHS],10.39,Dance & Electronic
630237426X,Prince and the Revolution; Live [VHS],0,Dance & Electronic
6302374286,Madonna Live-The Virgin Tour (1985) [VHS],24.6,Dance & Electronic
6302374367,Van Halen Live Without a Net [VHS],9.86,Metal
6302403146,Live From the Grand Canyon [VHS],12.15,Soft Rock
6302415993,The Rolling Stones - Gimme Shelter [VHS],27.98,Album-Oriented Rock (AOR)
6302460247,The Weavers: Wasn't That a Time! [VHS],0,Traditional Folk
630246322X,From There to Eternity [VHS],11.93,New Wave
6302482402,Ziggy Stardust &amp; The Spiders From Mars - The Motion Picture [VHS],0,Proto Punk
6302507251,Extreme Closeup [VHS],0,Metal
630251228X,EXILE,7.18,Alternative Rock
6302538076,Bangles Greatest Hits [VHS],0,Jangle Pop
630256042X,Hank Williams Sr.: The Show He Never Gave [VHS],7.95,Classic Country
6302579295,Mozart - Die Zauberflote / Magic Flute [VHS],9.48,Classical
6302587735,Liza Live From Radio City Music Hall [VHS],9.0,Traditional Pop
630259748X,Story Vol 2 - 1978-1992 [VHS],0,Metal
6302626625,Great Rock N Roll Swindle [VHS],16.99,British Punk
6302629144,"Verdi - La Traviata / Rudel, Sills, Price, Fredricks, Wolf Trap Festival [VHS]",6.49,Classical
6302643449,Guns N' Roses - Use Your Illusion I (World Tour 1992 in Tokyo) [VHS],9.76,Metal
6302678536,Sondheim - A Celebration at Carnegie Hall [VHS],5.88,Classical
6302682649,First Easter Rabbit [VHS],34.98,Children's Music
6302686946,"Donizetti - Roberto Devereux / Julius Rudel, NYCO [VHS]",8.96,Classical
6302690463,Return of Spinal Tap [VHS],20.99,Comedic Music
6302714222,Night at Red Rocks [VHS],6.88,British Invasion
6302761271,1991: Year Punk Broke [VHS],16.58,American Alternative
6302765196,Care Bears Movie 2 [VHS],9.81,Children's Music
6302775205,Farewell Concert [VHS],19.99,Album-Oriented Rock (AOR)
6302812291,Konfidential [VHS],16.5,Arena Rock
6302816513,Rainbow Brite And The Star Stealer [VHS],44.99,Children's Music
6302843936,Pat Metheny Group: More Travels [VHS],0,Bebop
6302869390,Concert for Bangladesh [VHS],41.97,Album-Oriented Rock (AOR)
6302878799,Superman and the Mole Men [VHS],0,Children's Music
6302880882,Life Promise Pride Love [VHS],8.0,Jazz
6302886201,World According to John Coltrane [VHS],7.0,Avant Garde & Free Jazz
6302886228,Bob Dylan - The 30th Anniversary Concert Celebration [VHS],19.88,Contemporary Folk
6302900212,Star [VHS],12.16,Soundtracks
6302902010,"The Gershwins' Porgy &amp; Bess / Rattle, White, Haymon, Glyndebourne Opera [VHS]",29.98,Classical
6302910102,Hits Collection [VHS],10.0,Dance & Electronic
6302910129,Rust Never Sleeps [VHS],18.97,Album-Oriented Rock (AOR)
6302932874,Sarah Vaughan: The Divine One [VHS],24.95,Bebop
6302941466,Sacred Fire [VHS],20.99,Blues Rock
6302952484,Dream Theater 'Images and Words - Live in Tokyo' [VHS],20.55,Metal
6302961807,Michael Jackson - Dangerous: The Short Films [VHS],15.39,Dance & Electronic
6302967376,Greatest Hits Tour [VHS],8.75,Adult Contemporary
6303014879,"Snoopy Double Feature Vol. 2 (He's Your Dog/It's Flashbeagle, Charlie Brown) [VHS]",0,Children's Music
6303014887,Peanuts: Easter Beagle Charlie Brown [VHS],2.97,Children's Music
6303023347,Iron Maiden - Raising Hell [VHS],0,New Wave
6303042538,Paul Is Live [VHS],2.76,Rock
6303047564,The Last Unicorn [VHS],14.95,Children's Music
6303048137,The Temptations - Live in Concert [VHS],17.98,Soul
6303058760,'68 Comeback: NBC-TV Special [VHS],9.99,Pop
6303092128,U2 - Zoo TV Live from Sydney [VHS],19.99,Alternative Rock
6303092160,The Cranberries - Live [VHS],4.99,Alternative Rock
6303124542,Sesame Street - The Best of Elmo [VHS],5.92,Children's Music
6303152775,Charlie Brown Thanksgiving [VHS],11.22,Children's Music
6303152821,Peanuts: Be My Valentine Charlie Brown [VHS],6.11,Children's Music
6303206204,The Secret of NIMH [VHS],4.25,Children's Music
6303215475,Percy's Ghostly Trick [VHS],18.92,Children's Music
6303224199,Barbra - The Concert : Live at Arrowhead Pond [VHS],3.39,Adult Contemporary
6303234844,Peter Gabriel - Secret World Live [VHS],9.88,Album-Oriented Rock (AOR)
6303266371,Sade Live Concert [VHS],35.99,Jazz
630326669X,Sympathy for the Devil [VHS],39.95,Rock
6303266762,Dead Can Dance - Toward the Within [VHS],9.0,Dream Pop
6303269354,"Kate Bush: The Line, the Cross &amp; The Curve [VHS]",0,Progressive Rock
6303284183,No Quarter: Music of Page &amp; Plant [VHS],2.29,Album-Oriented Rock (AOR)
6303286542,Aerosmith: Big Ones You Can Look at [VHS],42.99,Metal
6303296726,"Nirvana, Live Tonight Sold Out [VHS]",12.75,Alternative Rock
6303303463,Queen: Live at Wembley '86 [VHS],10.73,Metal
6303314015,The Lion King [VHS],5.75,Disney
6303329071,Rhythm Nation 1814 by Janet Jackson (CD),9.49,Dance Pop
6303332137,Spirit of the Eagle [VHS],7.99,Children's Music
6303332145,Mind's Eye [VHS],0,Meditation
6303335462,I Hate to Exercise I Love to Tap [VHS],29.99,Instructional
6303337023,The Monkees - Head [VHS],14.99,Psychedelic Rock
6303398340,Horowitz In Moscow [VHS],9.0,Classical
630344654X,The Keith Jarrett Trio Concert Live at Open Theater East 1993 [VHS],9.48,Bebop
6303451446,Live on the Sunset Strip [VHS],3.95,Comedy & Spoken Word
6303459765,Michael Jackson: HIStory: Video Greatest Hits [VHS],39.98,Dance & Electronic
6303477259,Pink Floyd - Pulse [VHS],14.98,Album-Oriented Rock (AOR)
6303486894,The Swan Princess [VHS],4.65,Children's Music
6303521517,Wrong Trousers [VHS],1.95,Children's Music
6303553486,Cyndi Lauper: Twelve Deadly Cyns [VHS],9.98,New Wave
6303562965,Dead Ahead [VHS],2.99,Album-Oriented Rock (AOR)
6303668380,Live Intrusion [VHS],30.0,Thrash & Speed Metal
6303694713,Design of a Decade: G.H. [VHS],3.88,Dance & Electronic
6303833411,"Tchaikovsky - The Nutcracker / Collier, Dowell, Royal Ballet Covent Garden [VHS]",3.5,Classical
6303894534,Alan Jackson: The Greatest Hits Video Collection [VHS],11.07,Neotraditional
6303905188,Voodoo Lounge [VHS],19.95,Rock
6303924581,Queen - Champions of the World [VHS],41.9,Album-Oriented Rock (AOR)
6303965091,Fantasy: Live at Madison Square Garden [VHS],4.4,Dance & Electronic
6303968651,The Red Balloon [VHS],3.33,Children's Music
6303998534,Kiss Unplugged [VHS],0,Arena Rock
6304022492,Riverdance - The Show [VHS],12.0,Dance Pop
6304061234,Sesame Street - Elmocize [VHS],9.95,Children's Music
6304087551,Ain't It Dead Yet [VHS],14.96,Alt Industrial
6304089627,Muppet Treasure Island [VHS],7.49,Children's Music
6304101066,Annie Lennox: Live in Central Park [VHS],9.75,Dance & Electronic
6304101147,All Dogs Go to Heaven 2 [VHS],1.95,Children's Music
6304132654,Sesame Street - Monster Hits! [VHS],2.99,Children's Music
6304140398,"Farewell: Live From the Universal Amphitheatre, Halloween 1995 [VHS]",21.65,New Wave
6304153716,Goosebumps - A Night in Terror Tower [VHS],5.0,Children's Music
630419059X,Grateful Dead: New Year's Eve [VHS],8.0,Folk Rock
6304197950,"Mark Knopfler, A Night in London [VHS]",9.99,Rock
6304218036,Sleeping Beauty [VHS],32.95,Classical
6304235682,Rolling Stones Rock &amp; Roll Circus [VHS],5.49,Psychedelic Rock
6304258941,Blood Brothers [VHS],4.5,Album-Oriented Rock (AOR)
6304262256,Letters From Porcupine [VHS],21.38,Alternative Rock
6304270763,Fleetwood Mac - The Early Years [VHS],5.99,Blues Rock
6304279485,Sesame Street - Get Up and Dance [VHS],15.65,Children's Music
6304359861,Coppelia [VHS],50.5,Classical
6304362358,Lord of the Dance [VHS],3.96,Celtic New Age
6304364350,"Verdi - Otello / Solti, Domingo, Te Kanawa, Royal Opera Covent Garden [VHS]",18.99,Classical
